ANIO,MES,UBIGEO_HECHO,DPTO_HECHO_NEW,PROV_HECHO,DIST_HECHO,TIPO,SUB_TIPO,MODALIDAD,n_dist_ID_DGC
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ADMINISTRACION PUBLICA (DELITO),COMETIDOS POR FUNCIONARIOS PUBLICOS,ABUSO DE AUTORIDAD,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,ADMINISTRACION PUBLICA (DELITO),COMETIDOS POR PARTICULARES,OSTENTACION DE DISTINTIVOS DE FUNCION O CARGOS QUE NO EJERCE,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,FE PUBLICA (DELITO),FALSIFICACION DE DOCUMENTOS EN GENERAL,FALSIFICACION DE DOCUMENTOS,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,HONOR (DELITO),DIFAMACION,DIFAMACION,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,LIBERTAD (DELITO),VIOLACION DE DOMICILIO,VIOLACION DE DOMICILIO,2
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,LIBERTAD (DELITO),VIOLACION DE LA LIBERTAD PERSONAL,ACOSO,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,LIBERTAD (DELITO),VIOLACION DE LA LIBERTAD PERSONAL,SECUESTRO,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,LIBERTAD (DELITO),VIOLACION DE LA LIBERTAD SEXUAL,ACOSO SEXUAL,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,LIBERTAD (DELITO),VIOLACION DE LA LIBERTAD SEXUAL,CHANTAJE SEXUAL,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,LIBERTAD (DELITO),VIOLACION DE LA LIBERTAD SEXUAL,VIOLACION SEXUAL DE MENOR DE 14 AÑOS,2
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),DAÑOS,DAÑO SIMPLE,4
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),ESTAFA Y OTRAS DEFRAUDACIONES,ESTAFA,10
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),EXTORSION,EXTORSION,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),HURTO,HURTO,7
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),HURTO,HURTO AGRAVADO,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),ROBO,ROBO,2
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),ROBO,ROBO DE CELULAR,1
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,PATRIMONIO (DELITO),USURPACION,USURPACION,5
2025,1,10101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,SEGURIDAD PUBLICA (DELITO),PELIGRO COMUN,CONDUCCION EN ESTADO DE EBRIEDAD O DROGADICCION,10
